"GEOID","NAME","variable","estimate","State"
"12105","Polk County, Florida","TotalPopulation","686218","FL"
"12105","Polk County, Florida","MedianHouseholdIncome","50584","FL"
"12107","Putnam County, Florida","TotalPopulation","73252","FL"
"12107","Putnam County, Florida","MedianHouseholdIncome","37670","FL"
"12109","St. Johns County, Florida","TotalPopulation","244674","FL"
"12109","St. Johns County, Florida","MedianHouseholdIncome","82252","FL"
"12111","St. Lucie County, Florida","TotalPopulation","312947","FL"
"12111","St. Lucie County, Florida","MedianHouseholdIncome","52322","FL"
"12113","Santa Rosa County, Florida","TotalPopulation","174755","FL"
"12113","Santa Rosa County, Florida","MedianHouseholdIncome","67949","FL"
"12115","Sarasota County, Florida","TotalPopulation","419496","FL"
"12115","Sarasota County, Florida","MedianHouseholdIncome","62236","FL"
"12117","Seminole County, Florida","TotalPopulation","461402","FL"
"12117","Seminole County, Florida","MedianHouseholdIncome","66768","FL"
"12119","Sumter County, Florida","TotalPopulation","125044","FL"
"12119","Sumter County, Florida","MedianHouseholdIncome","57226","FL"
"12121","Suwannee County, Florida","TotalPopulation","44046","FL"
"12121","Suwannee County, Florida","MedianHouseholdIncome","47839","FL"
"12123","Taylor County, Florida","TotalPopulation","21870","FL"
"12123","Taylor County, Florida","MedianHouseholdIncome","40306","FL"
"12125","Union County, Florida","TotalPopulation","15303","FL"
"12125","Union County, Florida","MedianHouseholdIncome","44270","FL"
"12127","Volusia County, Florida","TotalPopulation","536487","FL"
"12127","Volusia County, Florida","MedianHouseholdIncome","49494","FL"
"12129","Wakulla County, Florida","TotalPopulation","32321","FL"
"12129","Wakulla County, Florida","MedianHouseholdIncome","61410","FL"
"12131","Walton County, Florida","TotalPopulation","68262","FL"
"12131","Walton County, Florida","MedianHouseholdIncome","58093","FL"
"12133","Washington County, Florida","TotalPopulation","24764","FL"
"12133","Washington County, Florida","MedianHouseholdIncome","37022","FL"
NA,"TestCounty",NA,NA,NA
